Profit & Loss,,,,,,,,,,,,
Company 3,,,,,,,,,,,,
,Oct 2020,Nov 2020,Variance ($),Variance (%),,,,,,,,
RENT - MONTREAL,"$18,682","$18,864",$183,0.98%,,,,,,,,
OFFICE EQUIPMENT,$142,$144,$1,0.98%,,,,,,,,
TELEPHONE,$0,$180,$180,,,,,,,,,
Total Office Expenses,"$18,824","$19,188",$364,1.93%,,,,,,,,
Marketing Expenses,,,,,,,,,,,,
SOCIAL MEDIA (MARKETING),$824,$832,$8,0.97%,,,,,,,,
MARKETING - OTHER,"$1,630","$2,660","$1,030",63.19%,,,,,,,,
Total Marketing Expenses,"$2,454","$3,492","$1,038",42.3%,,,,,,,,
IT Expenses,,,,,,,,,,,,
CONTRACTOR - ENGINEERING,"$26,315","$30,686","$4,371",16.61%,,,,,,,,
DOMAIN NAMES,$0,$71,$71,,,,,,,,,
SOFTWARE - SUPPORT,"$20,297","$19,785",($512),-2.52%,,,,,,,,
SERVERS - AMAZON,"$22,933","$22,000",($933),-4.07%,,,,,,,,
SOFTWARE (7115),$98,$99,$1,0.98%,,,,,,,,
SERVERS - OTHER,$124,$124,($0),-0.26%,,,,,,,,
Total IT Expenses,"$69,768","$72,764","$2,997",4.3%,,,,,,,,
GE Projects,,,,,,,,,,,,
GE PROJECT (INDONESIA),"$19,958","$9,440","($10,517)",-52.7%,,,,,,,,
GE PROJECT (LATVIA),"$10,297","$7,020","($3,277)",-31.83%,,,,,,,,
GE PROJECT (PERU),"$3,645","$2,947",($698),-19.15%,,,,,,,,
Total GE Projects,"$33,900","$19,407","($14,493)",-42.75%,,,,,,,,
Meals and Entertainement,,,,,,,,,,,,
BREAKFAST,$36,$17,($19),-53.04%,,,,,,,,
DECORATION,$344,$42,($302),-87.87%,,,,,,,,
EMPLOYEE GIFTS,$0,$46,$46,,,,,,,,,
MEALS & ENT.,$0,$18,$18,,,,,,,,,
SPECIAL EVENT,$0,$750,$750,,,,,,,,,
Total Meals and Entertainement,$381,$872,$492,129.16%,,,,,,,,
Travel Expenses,,,,,,,,,,,,
CONFERENCE,$0,"$1,135","$1,135",,,,,,,,,
Financial Expenses,,,,,,,,,,,,
BANK SERVICE CHARGE,"$6,416","$6,802",$387,6.03%,,,,,,,,
PAXUM FEES,$164,$164,($0),-0.04%,,,,,,,,
PAYPAL FEES,"$14,950","$15,795",$845,5.65%,,,,,,,,
WIRE FEES,"$4,905","$5,133",$228,4.65%,,,,,,,,
Total Financial Expenses,"$26,434","$27,894","$1,459",5.52%,,,,,,,,
Other Expenses,,,,,,,,,,,,
DUES AND SUBSCRIPTIONS,$0,$1,$1,,,,,,,,,
TELECOMMUNICATION RECHARGE,"$1,087",$917,($171),-15.71%,,,,,,,,
ROUNDING,$0,$0,($0),-100.0%,,,,,,,,
Total Other Expenses,"$1,087",$918,($169),-15.59%,,,,,,,,
Car Expenses,,,,,,,,,,,,
CAR LEASE,$742,$749,$7,0.98%,,,,,,,,
PARKING,$203,$205,$2,0.98%,,,,,,,,
Total Car Expenses,$945,$954,$9,0.98%,,,,,,,,
Total Expenses,"$413,468","$380,141","($33,326)",-8.06%,,,,,,,,
Operating Profit Before Depn & Amort.,"$111,426","$229,128","$117,702",105.63%,,,,,,,,
Other Income,,,,,,,,,,,,
OTHER INCOME (8111),$215,$215,$1,0.23%,,,,,,,,
Other Expenses,,,,,,,,,,,,
Bank Revaluations,"$42,066","$140,777","$98,710",234.65%,,,,,,,,
Realised Currency Gains,"($35,653)","($55,549)","($19,895)",-55.8%,,,,,,,,
Unrealised Currency Gains,"$60,509","($17,996)","($78,505)",-129.74%,,,,,,,,
Unrealized exchange Gain or Loss,"$246,416","$194,427","($51,990)",-21.1%,,,,,,,,
EBITDA,"($201,697)","($32,315)","$169,382",83.98%,,,,,,,,
Total Depreciation & Amortisation,"$2,500","$2,524",$24,0.98%,,,,,,,,
Earnings Before Interest & Tax,"($204,197)","($34,839)","$169,358",82.94%,,,,,,,,
Net Income,"($204,197)","($34,839)","$169,358",82.94%,,,,,,,,
